Country,Job Title,Age Group,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),[40-45),2,0.02702702702702703
Austria,Automatic Data Processing Planner,[45-55),1,0.013513513513513514
Austria,Automatic Data Processing Planner,[55-70),1,0.013513513513513514
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[30-35),1,0.013513513513513514
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),[45-55),1,0.013513513513513514
Austria,Clinical Data Specialist,[40-45),1,0.013513513513513514
Austria,Computer or Data Processing Systems Consultant,[30-35),1,0.013513513513513514
Austria,Computer or Data Processing Systems Consultant,[45-55),1,0.013513513513513514
Austria,Computer or Data Processing Systems Consultant,[55-70),1,0.013513513513513514
Austria,Crime Data Specialist,[45-55),1,0.013513513513513514
Austria,Data Administrator,[40-45),1,0.013513513513513514
Austria,Data Base Design Analyst,[30-35),1,0.013513513513513514
Austria,Data Base Design Analyst,[45-55),1,0.013513513513513514
Austria,Data Coder Operator,[45-55),1,0.013513513513513514
Austria,Data Communications Software Consultant,[30-35),1,0.013513513513513514
Austria,Data Communications Software Consultant,[45-55),1,0.013513513513513514
Austria,Data Coordinator,[45-55),2,0.02702702702702703
Austria,Data Entry Representative,[40-45),1,0.013513513513513514
Austria,Data Entry Specialist,[30-35),1,0.013513513513513514
Austria,Data Keyer,[55-70),1,0.013513513513513514
Austria,Data Management Associate,[40-45),1,0.013513513513513514
Austria,Data Management Information Technology Specialist,[30-35),1,0.013513513513513514
Austria,Data Officer,[30-35),1,0.013513513513513514
Austria,Data Officer,[45-55),1,0.013513513513513514
Austria,Data Processing Auditor,(18-25),1,0.013513513513513514
Austria,Data Processing Auditor,[30-35),2,0.02702702702702703
Austria,Data Processing Systems Project Planner,[55-70),1,0.013513513513513514
Austria,Data Security Analyst,[30-35),1,0.013513513513513514
Austria,Data Security Analyst,[45-55),1,0.013513513513513514
Austria,Data Systems Manager,[40-45),1,0.013513513513513514
Austria,Data Warehouse Developer,[45-55),1,0.013513513513513514
Austria,Data Warehousing Engineer,[30-35),3,0.04054054054054054
Austria,Data Warehousing Engineer,[40-45),1,0.013513513513513514
Austria,Data Warehousing Engineer,[45-55),1,0.013513513513513514
Austria,Data Warehousing Manager,[30-35),1,0.013513513513513514
Austria,Database Administration Associate,[30-35),1,0.013513513513513514
Austria,Database Administration Manager,[30-35),1,0.013513513513513514
Austria,Database Architect,[45-55),1,0.013513513513513514
Austria,Database Coordinator,[55-70),1,0.013513513513513514
Austria,Database Design Analyst,[30-35),1,0.013513513513513514
Austria,Database Developer,[45-55),1,0.013513513513513514
Austria,Database Development and Administration Project Manager,[30-35),1,0.013513513513513514
Austria,Database Engineer,(18-25),1,0.013513513513513514
Austria,Database Engineer,[40-45),1,0.013513513513513514
Austria,Database Manager,[30-35),1,0.013513513513513514
Austria,Database Marketing Analyst,[40-45),1,0.013513513513513514
Austria,Database Modeler,[30-35),1,0.013513513513513514
Austria,Database Security Administrator,(18-25),1,0.013513513513513514
Austria,Database Security Administrator,[30-35),1,0.013513513513513514
Austria,Database Security Administrator,[55-70),1,0.013513513513513514
Austria,Database Security Expert,[45-55),1,0.013513513513513514
Austria,Database Software Technician,[30-35),1,0.013513513513513514
Austria,Database Software Technician,[55-70),1,0.013513513513513514
Austria,Databases Computer Consultant,[30-35),1,0.013513513513513514
Austria,Director of Data Operations,[45-55),1,0.013513513513513514
Austria,Electronic Data Processing Auditor (EDP Auditor),[30-35),1,0.013513513513513514
Austria,Field Artillery Automated Tactical Data System Specialist,[40-45),1,0.013513513513513514
